method,lr,bs,ep,f1,energy
GA,3.48662412532502e-05,8.000000737979912,2.0,0.8449030644152595,0.0008083035672055828
GA,3.2331913124436306e-05,8.0,3.0,0.8380402874784898,0.00016172895146836079
GA,3.2331913124436306e-05,8.0,3.000006569365972,0.8327886296268147,0.000819220818758857
GA,2.9934133110002948e-05,8.0,2.0,0.8299319727891157,0.0003535845309973076
GA,3.3991318203892794e-05,8.000000696842932,1.9306275242151776,0.8299319727891157,0.0008148185042915832
GA,1.793180897961759e-05,8.000000737979912,2.0,0.806201550387597,0.0006282640512501036
GA,2.0304249886310416e-05,9.337824400238809,2.0,0.7983667708438351,0.0007559350871509253
GA,1.2999700836370338e-05,8.0,2.0,0.6259934548854604,6.814581481988366e-05
GA,3.415827488372266e-05,32.0,2.0,0.6060711389178542,3.998627377107617e-05
GA,3.415827488372266e-05,32.0,2.000006569365972,0.6060711389178542,0.00043919009837656726
